zipcode,number_of_returns,income
0,"2,693,930","197,640,788"
0,870560,10486101
0,631080,23448258
0,394500,24740428
0,276880,24410707
0,395910,54569650
0,125000,59985644
,,
55001,"1,500","212,720"
55001,350,3656
55001,200,7299
55001,170,10821
55001,150,13340
55001,380,54596
55001,250,123008
,,
55003,"1,200","99,328"
55003,400,4610
55003,230,8446
55003,160,10096
55003,130,11396
55003,200,27953
55003,80,36827
,,
55005,"2,230","151,314"
55005,610,7087
55005,490,17864
55005,380,24002
55005,290,25488
55005,410,53435
55005,50,23438
,,
55006,"1,730","82,388"
55006,650,7542
55006,430,15896
55006,280,17577
55006,190,16533
55006,180,24840
55006,**,**
,,
55007,"1,050","44,942"
55007,400,4964
55007,300,10875
55007,170,10587
55007,100,9102
55007,80,9414
55007,**,**
,,
55008,"7,440","421,306"
55008,2610,30471
55008,1730,64174
55008,1250,77942
55008,810,71294
55008,890,116376
55008,150,61049
,,
55009,"4,140","295,658"
55009,1250,14160
55009,820,31287
55009,640,40164
55009,490,43533
55009,780,105168
55009,160,61346
,,
55011,"5,160","376,367"
55011,1380,15975
55011,1040,39669
55011,870,54577
55011,620,55029
55011,1070,143742
55011,180,67375
,,
55012,940,"67,474"
55012,290,3430
55012,200,7595
55012,130,8522
55012,120,10167
55012,160,22065
55012,40,15695
,,
55013,"3,340","247,240"
55013,1010,11254
55013,600,22546
55013,510,31863
55013,410,35906
55013,660,88990
55013,150,56681
,,
55014,"13,720","1,008,193"
55014,3980,44755
55014,2760,103488
55014,2010,126097
55014,1620,142650
55014,2720,368264
55014,630,222939
,,
55016,"17,310","1,213,105"
55016,4790,55630
55016,3430,128058
55016,2530,159460
55016,2200,194006
55016,3800,512483
55016,560,163468
,,
55017,330,"17,512"
55017,90,1186
55017,90,3212
55017,60,3399
55017,50,3960
55017,40,5755
55017,**,**
,,
55018,520,"31,808"
55018,150,1711
55018,120,4285
55018,80,4699
55018,70,5751
55018,100,15362
55018,**,**
,,
55019,990,"68,335"
55019,260,3217
55019,200,7580
55019,180,10978
55019,150,12920
55019,180,24182
55019,20,9458
,,
55020,"1,770","159,683"
55020,410,4558
55020,270,10317
55020,240,15205
55020,230,20821
55020,510,70222
55020,110,38560
,,
55021,"13,950","787,543"
55021,5120,63197
55021,3670,134375
55021,2090,129798
55021,1360,119259
55021,1430,187576
55021,280,153338
,,
55024,"16,020","1,151,594"
55024,4280,48128
55024,3100,117346
55024,2410,151364
55024,2000,175986
55024,3710,500601
55024,520,158169
,,
55025,"12,250","894,704"
55025,3810,44525
55025,2520,93768
55025,1740,109304
55025,1360,119607
55025,2280,309431
55025,540,218069
,,
55026,240,"14,405"
55026,70,669
55026,50,1767
55026,40,2563
55026,40,3114
55026,40,6292
55026,**,**
,,
55027,"1,420","91,264"
55027,390,4867
55027,360,13344
55027,240,15262
55027,180,15540
55027,220,29917
55027,30,12334
,,
55030,570,"26,815"
55030,210,2653
55030,140,5136
55030,100,6015
55030,70,5758
55030,50,7253
55030,**,**
,,
55031,970,"75,720"
55031,270,3302
55031,180,6764
55031,150,9494
55031,130,11117
55031,200,26815
55031,40,18228
,,
55032,"1,730","111,406"
55032,540,6437
55032,380,14046
55032,270,16811
55032,240,20864
55032,270,35299
55032,30,17949
,,
55033,"15,040","1,031,552"
55033,4570,52402
55033,3250,121739
55033,2250,140767
55033,1700,149891
55033,2700,366362
55033,570,200391
,,
55037,"2,240","95,296"
55037,990,12834
55037,610,22545
55037,290,17876
55037,180,15721
55037,170,26320
55037,**,**
,,
55038,"10,920","950,227"
55038,2850,30914
55038,1960,74348
55038,1490,93717
55038,1290,113347
55038,2520,349876
55038,810,288025
,,
55040,"6,260","354,803"
55040,1980,24068
55040,1550,58087
55040,1110,69425
55040,760,66985
55040,770,98535
55040,90,37703
,,
55041,"3,890","232,531"
55041,1300,14591
55041,940,35397
55041,600,37548
55041,440,38381
55041,500,65706
55041,110,40908
,,
55042,"4,450","585,529"
55042,1250,13608
55042,650,24310
55042,440,27365
55042,390,34794
55042,940,137436
55042,780,348016
,,
55043,"1,960","250,204"
55043,570,6753
55043,370,13733
55043,300,18692
55043,240,20711
55043,370,49103
55043,110,141212
,,
55044,"24,640","2,591,168"
55044,6740,70553
55044,3510,131265
55044,2790,176308
55044,2470,219053
55044,6540,930056
55044,2590,1063933
,,
55045,"3,750","267,972"
55045,1150,13172
55045,750,28024
55045,570,36117
55045,440,38980
55045,710,92944
55045,130,58735
,,
55046,"2,500","172,527"
55046,670,7796
55046,480,18304
55046,440,27313
55046,380,33477
55046,470,60923
55046,60,24714
,,
55047,"1,330","138,325"
55047,360,3945
55047,210,8243
55047,180,11442
55047,150,13528
55047,290,41091
55047,140,60076
,,
55049,"1,280","70,429"
55049,410,4796
55049,340,12787
55049,180,10964
55049,150,13057
55049,200,28825
55049,**,**
,,
55051,"4,290","226,017"
55051,1700,19879
55051,1050,39067
55051,670,42181
55051,400,35391
55051,400,51551
55051,70,37948
,,
55052,960,"54,030"
55052,320,4081
55052,250,9510
55052,170,10595
55052,90,8074
55052,130,21770
55052,**,**
,,
55053,460,"35,696"
55053,130,1436
55053,90,3169
55053,80,4818
55053,60,5217
55053,80,11087
55053,20,9969
,,
55054,940,"76,177"
55054,190,2256
55054,160,6023
55054,140,8895
55054,120,10713
55054,290,39685
55054,40,8605
,,
55055,"1,820","98,602"
55055,600,6779
55055,540,20144
55055,290,18482
55055,170,15164
55055,170,22734
55055,50,15299
,,
55056,"6,700","396,363"
55056,2090,24362
55056,1490,54734
55056,1110,69005
55056,860,75361
55056,1030,133283
55056,120,39618
,,
55057,"10,220","751,253"
55057,3270,36530
55057,2000,74805
55057,1490,93534
55057,1120,98639
55057,1850,253972
55057,490,193773
,,
55060,"14,640","843,468"
55060,5120,60557
55060,3560,130760
55060,2120,132818
55060,1590,140472
55060,1880,247348
55060,370,131513
,,
55063,"4,210","207,031"
55063,1560,19634
55063,1100,40392
55063,680,42634
55063,410,35942
55063,420,54689
55063,40,13740
,,
55065,560,"38,030"
55065,150,1463
55065,100,3931
55065,100,6352
55065,80,7176
55065,130,19108
55065,**,**
,,
55066,"9,560","612,717"
55066,3190,37754
55066,2470,90933
55066,1310,81699
55066,970,84568
55066,1290,175457
55066,330,142306
,,
55068,"14,120","1,140,810"
55068,3780,42049
55068,2610,98280
55068,2010,126709
55068,1700,150182
55068,3220,441108
55068,800,282482
,,
55069,"2,280","114,754"
55069,920,11208
55069,510,18580
55069,320,20005
55069,250,22326
55069,250,31703
55069,30,10932
,,
55070,"3,740","206,310"
55070,1130,13563
55070,940,35108
55070,650,40942
55070,470,40907
55070,510,65418
55070,40,10372
,,
55071,"2,940","151,097"
55071,950,11927
55071,770,28355
55071,530,33237
55071,360,31722
55071,310,39613
55071,20,6243
,,
55072,"1,480","61,875"
55072,640,8290
55072,390,14323
55072,230,14342
55072,120,10470
55072,100,14450
55072,**,**
,,
55073,"1,730","144,467"
55073,430,4975
55073,280,10608
55073,270,17500
55073,230,20581
55073,410,56160
55073,110,34643
,,
55074,"1,060","63,733"
55074,320,4039
55074,250,9395
55074,180,11046
55074,150,13469
55074,140,17649
55074,20,8135
,,
55075,"10,630","531,564"
55075,3600,44023
55075,2970,110903
55075,1730,107570
55075,1130,98534
55075,1100,141017
55075,100,29517
,,
55076,"11,790","769,015"
55076,3410,41278
55076,2930,109126
55076,1860,115807
55076,1320,115455
55076,1900,253515
55076,370,133834
,,
55077,"6,720","629,175"
55077,2010,23842
55077,1620,59915
55077,830,51762
55077,520,45601
55077,1090,156317
55077,650,291738
,,
55079,"4,360","287,629"
55079,1250,15051
55079,920,34409
55079,710,44447
55079,550,47677
55079,830,109315
55079,100,36730
,,
55080,"1,310","80,362"
55080,400,4665
55080,290,11042
55080,230,14644
55080,160,13829
55080,190,25553
55080,40,10629
,,
55082,"18,350","1,925,505"
55082,5440,57831
55082,2980,111677
55082,2330,147283
55082,1870,165489
55082,3750,527125
55082,1980,916100
,,
55084,870,"50,438"
55084,310,3472
55084,200,7729
55084,130,8126
55084,100,8934
55084,130,22177
55084,**,**
,,
55087,170,"8,334"
55087,50,511
55087,40,1326
55087,30,1990
55087,50,4507
55087,**,**
55087,0,0
,,
55088,930,"78,411"
55088,250,2758
55088,180,6822
55088,120,7649
55088,130,10956
55088,200,27759
55088,50,22467
,,
55089,980,"99,896"
55089,260,3072
55089,170,6310
55089,120,7717
55089,90,7930
55089,160,21782
55089,180,53085
,,
55092,"5,260","365,564"
55092,1570,17390
55092,1020,38076
55092,810,50790
55092,670,58366
55092,1000,133749
55092,190,67193
,,
55101,"4,330","432,656"
55101,1110,13627
55101,1070,40567
55101,890,55233
55101,490,42789
55101,530,72039
55101,240,208401
,,
55102,"10,180","763,394"
55102,3320,42966
55102,2940,109495
55102,1610,99683
55102,910,79426
55102,960,130258
55102,440,301566
,,
55103,"5,830","210,112"
55103,2930,36925
55103,1750,62429
55103,570,34448
55103,270,23343
55103,280,37287
55103,30,15680
,,
55104,"21,090","1,166,694"
55104,8260,104685
55104,5840,213306
55104,2720,168653
55104,1480,129413
55104,2110,288339
55104,680,262298
,,
55105,"13,140","1,524,482"
55105,3460,39430
55105,2550,96412
55105,1710,106915
55105,1220,108148
55105,2610,370226
55105,1590,803351
,,
55106,"25,790","965,148"
55106,11390,145655
55106,8450,303005
55106,3100,190369
55106,1480,127690
55106,1260,161580
55106,110,36849
,,
55107,"6,620","290,988"
55107,2720,34815
55107,1940,70380
55107,930,57289
55107,500,43252
55107,470,61295
55107,60,23957
,,
55108,"7,120","533,503"
55108,2080,25726
55108,1700,63459
55108,1070,67120
55108,730,64251
55108,1140,158169
55108,400,154778
,,
55109,"17,550","991,817"
55109,5960,72154
55109,4910,180986
55109,2560,158927
55109,1760,154134
55109,2010,266341
55109,350,159275
,,
55110,"20,530","1,804,291"
55110,5780,66720
55110,4390,163233
55110,3070,191930
55110,2470,217092
55110,3630,493489
55110,1190,671827
,,
55112,"22,440","1,641,325"
55112,6900,83362
55112,5320,196854
55112,3250,203524
55112,2280,200421
55112,3620,496038
55112,1070,461126
,,
55113,"21,420","1,511,406"
55113,6420,79045
55113,5100,189160
55113,3230,202314
55113,2200,193101
55113,3490,477119
55113,980,370667
,,
55114,"1,840","105,670"
55114,650,8434
55114,540,20276
55114,290,17766
55114,140,11938
55114,170,23854
55114,50,23402
,,
55115,"4,440","606,507"
55115,1360,13725
55115,620,23119
55115,470,29738
55115,420,37730
55115,1010,144227
55115,560,357968
,,
55116,"13,090","1,274,909"
55116,3660,44382
55116,2980,111221
55116,1830,114105
55116,1230,107899
55116,2230,315810
55116,1160,581492
,,
55117,"21,140","1,003,072"
55117,8350,108999
55117,6360,230473
55117,2690,166719
55117,1590,138962
55117,1820,242121
55117,330,115798
,,
55118,"15,010","1,471,465"
55118,4760,56577
55118,3450,127442
55118,2130,132702
55118,1360,119841
55118,2180,301187
55118,1130,733716
,,
55119,"20,620","1,054,391"
55119,7240,92266
55119,6140,224395
55119,3100,191453
55119,1700,148053
55119,2060,276831
55119,380,121393
,,
55120,"2,380","253,523"
55120,600,6263
55120,440,16662
55120,310,19089
55120,230,20074
55120,470,68104
55120,330,123331
,,
55121,"4,820","299,220"
55121,1310,17365
55121,1410,52116
55121,860,53430
55121,480,42054
55121,620,85392
55121,140,48863
,,
55122,"17,220","1,324,309"
55122,4640,55467
55122,4000,150299
55122,2750,172322
55122,1820,160023
55122,2990,410488
55122,1020,375710
,,
55123,"13,740","1,441,566"
55123,3690,38631
55123,2200,82414
55123,1560,98272
55123,1380,121921
55123,3380,482015
55123,1530,618313
,,
55124,"26,710","2,099,134"
55124,7480,87166
55124,5560,208311
55124,3910,245265
55124,2960,260928
55124,5260,723169
55124,1540,574295
,,
55125,"22,340","2,066,242"
55125,5840,63355
55125,3950,149440
55125,3110,195552
55125,2500,219594
55125,4960,692673
55125,1980,745628
,,
55126,"13,910","1,323,127"
55126,3540,39357
55126,2590,98070
55126,2030,127371
55126,1630,143928
55126,2980,414649
55126,1140,499752
,,
55127,"9,480","1,502,853"
55127,2380,27245
55127,1730,65217
55127,1230,77158
55127,960,84487
55127,1830,258074
55127,1350,990672
,,
55128,"15,950","937,209"
55128,5170,61382
55128,3970,147602
